location,tier,address,latitude,longitude
Nipotina,1,"2238 S 21st St, Philadelphia, PA 19145",39.92351396,-75.18188571
The Fresh Works,3,"2101 Reed St, Philadelphia, PA 19146",39.93453584,-75.17942387
John's Roast Pork,4,"14 E Snyder Ave, Philadelphia, PA 19148",39.9214442,-75.1444593
Rocco's Italian Sausage & Cheese Steaks,1,"1491 S Delaware Ave, Philadelphia, PA 19148",39.9114767,-75.1369263
Pat's King of Steaks,4,"1237 E Passyunk Ave, Philadelphia, PA 19147",39.9331995,-75.1592409
Geno's Steaks,4,"1219 S 9th St, Philadelphia, PA 19147",39.9337883,-75.1588475
Angelo's Pizzeria,1,"736 S 9th St, Philadelphia, PA 19147",39.9406411,-75.1577173
Woodrow's Sandwich Shop,2,"630 South St, Philadelphia, PA 19147",39.9419706,-75.1532384
Ishkabibble's II,3,"517 South St, Philadelphia, PA 19147",39.9419783,-75.1514209
Jim's South St,2,"400 South St, Philadelphia, PA 19147",39.9414981,-75.1493058
Cleavers,4,"108 S 18th St, Philadelphia, PA 19103",39.9514103,-75.1706011
Dalessandro's Steaks,4,"600 Wendover St, Philadelphia, PA 19128",40.0294892,-75.2059682
Cosmi's Deli,3,"1501 S 8th St, Philadelphia, PA 19147",39.9302666,-75.1579987
Shay's Steaks,1,"200 N 16th St, Philadelphia, PA 19102",39.95682361,-75.16637648
Pizza Plus South,3,"1846 S 12th St, Philadelphia, PA 19148",39.9264873,-75.16565337
Jaxx Steaks Taproom,2,"242 Wharton St, Philadelphia, PA 19147",39.9315261,-75.14963704
Nifty Fifty's,2,"2700 S 10th St, Philadelphia, PA 19148",39.91579027,-75.16481433
